MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"40326",,"08/08/26 00:00:00","6481",0,18500,15,194,0,,,0,0,0,0,0,3596,341,0,1,"40326",,-1,,,10,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,0,46.04,,"Z001",,,,,,0,,18500
"40326",,"08/08/26 00:00:00","6030",1,70,0,0,0,,,0,0,0,0,0,3597,341,0,1,"40326",,-1,,,11,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,-18.24,0,,"Z001",,,,,,0,,70
"40326",,"08/08/26 00:00:00","5970",1,130,0,0,0,,,0,0,0,0,0,3598,341,0,1,"40326",,-1,,,12,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,42.89,0,,"Z001",,,,,,0,,130
"40326",,"08/08/26 00:00:00","6275",1,1500,0,0,0,,,0,0,0,0,0,3599,341,0,1,"40326",,-1,,,13,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,473.4,0,,"Z001",,,,,,0,,1500
"40326",,"08/08/26 00:00:00","6338",1,150,0,0,0,,,0,0,0,0,0,3600,341,0,1,"40326",,-1,,,14,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,50,0,,"Z001",,,,,,0,,150
"40326",,"08/08/26 00:00:00","262234",1,22000,0,0,0,,,0,0,0,0,0,3603,341,0,1,"40326",,-1,,,15,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,2000,0,,"Z001",,,,,,0,,22000
"40326",,"08/08/26 00:00:00","5692",1,3500,0,0,0,,,0,0,0,0,0,3605,341,0,1,"40326",,-1,,,16,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,640.28,0,,"Z001",,,,,,0,,3500
"40326",,"08/08/26 00:00:00","6364",0,100,6,10,0,,,0,0,0,0,0,3606,341,0,1,"40326",,-1,,,17,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,0,10,,"Z001",,,,,,0,,100
"40326",,"08/08/26 00:00:00","6616",3,200,0,0,0,,,0,0,0,0,0,3607,341,0,1,"40326",,-1,,,18,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,67.90000000000001,0,,"Z001",,,,,,0,,200
"40326",,"08/08/26 00:00:00","262128",2,225,0,0,0,,,0,0,0,0,0,3608,341,0,1,"40326",,-1,,,19,"RAYYAN",1,,,0,0,1,"01",0,0,,0,50220,1,"40326",,,131.9,0,,"Z001",,,,,,0,,225
