GRNNo,LPONo,TDate,DNote,Item,Quantity,Price,VATAmount,NetAmount,Amount,Posted,Balance,SortOrder,Pick,VAT,Credit,Supplier,CurrMonth,Days,RefNo,Cash,BatchNo,Expiry,Blank,Quantity2,Price2,Return,UserName,Official,Remarks,Cancelled,B4,Curr,AVGPrice,AVGPrice2,StCn,Company,GoodsRet,Transfer,VATIncl,Discount,CostPrice,CostPrice2,Ref,BBF,BinLoc,InvNo,NetPrice
"29926",,"07/21/26 00:00:00",,"252049",5,13000,0,65000,65000,0,65000,2190,0,0,0,372,"7. JULY",31,"29926",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,13000,1,,0,"Z001",,13000
"29926",,"07/21/26 00:00:00",,"262113",2,30200,0,60400,60400,0,60400,2191,0,0,0,372,"7. JULY",31,"29926",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,30200,1,,0,"Z001",,30200
"29926",,"07/21/26 00:00:00",,"262071",2,27600,0,55200,55200,0,55200,2192,0,0,0,372,"7. JULY",31,"29926",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,27600,1,,0,"Z001",,27600
"30026",,"07/20/26 00:00:00",,"262278",2,28220.47,0,56440.94,56440.94,0,56440.94,2193,0,0,0,10020,"7. JULY",32,"30026",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,28220.47,1,,0,"Z001",,28220.471
"30026",,"07/20/26 00:00:00",,"262279",2,47370.08,0,94740.16,94740.16,0,94740.16,2194,0,0,0,10020,"7. JULY",32,"30026",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,47370.08,1,,0,"Z001",,47370.078
"30126",,"05/14/26 00:00:00",,"262281",1,16000,0,16000,16000,0,16000,2195,0,0,0,370,"5. MAY",99,"30126",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,16000,0,,0,"Z001",,16000
"30226",,"07/21/26 00:00:00",,"5817",20,8800,0,176000,176000,0,176000,2196,0,0,0,10003,"7. JULY",31,"30226",1,,,1,0,1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,8800,1,,0,"Z001",,8800
"17926",,"03/28/26 00:00:00",,"262128",30,92.59,0,2777.7,2777.7,0,2777.7,2197,0,0,0,352,"3. MARCH",146,"17926",1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,92.59,1,,0,"Z001",,92.589996
"30326",,"07/22/26 00:00:00",,"262227",1,100,0,100,100,0,100,2199,0,0,0,10008,"7. JULY",30,,1,,,1,0,1,0,"ABDUL",1,,0,0,1,0,0,0,"01",0,0,1,0,100,0,,0,"Z001",,100
"30426",,"07/23/26 00:00:00",,"262285",1,3500,0,3500,3500,0,3500,2200,0,0,0,370,"7. JULY",29,"30426",1,,,1,0,-1,0,"RAYYAN",1,,0,0,1,0,0,0,"01",0,0,1,0,3500,0,,0,"Z001",,3500
