TransRefNo,Item,TDate,QntyIn,QntyOut,GRN,RevGRN,MINTrans,RevMIN,Disposal,Lse,Price,GRNBal,AvgPrice,StCn,Transfer,ActPrice,Company,SortOrder,Official,Profit,BinLoc,Production
"40826","252024","08/04/26 00:00:00",0,6,0,0,1,0,0,0,300,0,170,0,0,300,"01",,1,780,"Z001",0
"40826","6364","08/04/26 00:00:00",0,1,0,0,1,0,0,0,300,0,156.3333333333333,0,0,300,"01",,1,143.6666666666667,"Z001",0
"40826","6346","08/04/26 00:00:00",0,1,0,0,1,0,0,0,500,0,428.1578947368421,0,0,500,"01",,1,71.84210526315792,"Z001",0
"40826","836","08/04/26 00:00:00",0,2,0,0,1,0,0,0,350,0,247.018119560565,0,0,350,"01",,1,205.9637608788701,"Z001",0
"40826","251957","08/04/26 00:00:00",0,1,0,0,1,0,0,0,2500,0,1185.368,0,0,2500,"01",,1,1314.632,"Z001",0
"40826","6063","08/04/26 00:00:00",0,2,0,0,1,0,0,0,75,0,24.58847091605712,0,0,75,"01",,1,100.8230581678858,"Z001",0
"40826","241910","08/04/26 00:00:00",0,64,0,0,1,0,0,1,200,0,17.03,0,0,200,"01",,1,11710.08,"Z001",0
"40826","6474","08/04/26 00:00:00",0,16,0,0,1,0,0,1,80,0,47.29000000000001,0,0,80,"01",,1,523.3599999999999,"Z001",0
"41026","262290","08/10/26 00:00:00",0,6,0,0,1,0,0,0,12400,0,10312.5,0,0,12400,"01",,1,12525,"Z001",0
"41026","262307","08/10/26 00:00:00",0,1,0,0,1,0,0,0,330000,0,260000,0,0,330000,"01",,1,70000,"Z001",0
"41126","6475","08/13/26 00:00:00",0,1,0,0,1,0,0,0,10400,0,6755.9184,0,0,10400,"01",,1,3644.0816,"Z001",0
"41226","251963","08/14/26 00:00:00",0,1,0,0,1,0,0,0,6500,0,4900,0,0,6500,"01",,1,1600,"Z001",0
"39526","262296","08/11/26 00:00:00",0,4,0,0,1,0,0,0,2500,0,2500,0,0,2500,"01",,1,0,"Z001",0
"39526","262278","08/11/26 00:00:00",0,1,0,0,1,0,0,0,28200,0,28197.994,0,0,28200,"01",,1,2.006000000001222,"Z001",0
"39526","262089","08/11/26 00:00:00",0,50,0,0,1,0,0,0,80,0,82.33142037302726,0,0,80,"01",,1,-116.5710186513628,"Z001",0
"39526","1425","08/11/26 00:00:00",0,50,0,0,1,0,0,0,80,0,80,0,0,80,"01",,1,0,"Z001",0
"39526","241912","08/11/26 00:00:00",0,500,0,0,1,0,0,0,67,0,66.57356608478803,0,0,67,"01",,1,213.2169576059866,"Z001",0
"39526","241918","08/11/26 00:00:00",0,14,0,0,1,0,0,0,654,0,653.5700000000001,0,0,654,"01",,1,6.0199999999993,"Z001",0
"39526","252052","08/11/26 00:00:00",0,6,0,0,1,0,0,0,654,0,653.5700000000001,0,0,654,"01",,1,2.5799999999997,"Z001",0
"39526","251938","08/11/26 00:00:00",0,10,0,0,1,0,0,0,1506,0,1505.667741935484,0,0,1506,"01",,1,3.322580645160542,"Z001",0
"41326","898","08/14/26 00:00:00",0,1,0,0,1,0,0,0,25000,0,25000,0,0,25000,"01",,1,0,"Z001",0
"41326","6565","08/14/26 00:00:00",0,1,0,0,1,0,0,0,18000,0,18000,0,0,18000,"01",,1,0,"Z001",0
