RefNo,TDate,Amount,Posted,Supplier,CNote,DNote,Receipt,Days,Pick,Remark,GRNNo,UserName,Company,Ref2
"9425","10/29/25 00:00:00",264550,0,10003,0,0,1,-1,0,,"9425","ABDUL","01",
"9625","11/06/25 00:00:00",310000,0,10003,0,0,1,-1,0,,"9625","SAID","01",
"1/12/2025","12/01/25 00:00:00",105427,0,347,0,0,1,-1,0,"CHEQUE NO 000010",,"ABDUL","01",
"10025","12/02/25 00:00:00",4400,0,370,0,0,1,-1,0,,"10025","SAID","01",
"10625","10/30/25 00:00:00",128500,0,372,0,0,1,-1,0,,"10625","ABDUL","01",
"10725","12/15/25 00:00:00",121400,0,10005,0,0,1,-1,0,,"10725","ABDUL","01",
"10825","12/13/25 00:00:00",33562.51,0,353,0,0,1,-1,0,,"10825","ABDUL","01",
"10925","09/15/25 00:00:00",1360340.8,0,10006,0,0,1,-1,0,,"10925","SAID","01",
"10125","12/02/25 00:00:00",35378,0,348,0,0,1,-1,0,,"10125","ABDUL","01",
"11025","12/11/25 00:00:00",13200,0,368,0,0,1,-1,0,,"11025","ABDUL","01",
"11225","10/31/25 00:00:00",59949.96,0,10000,0,0,1,-1,0,,"11225","ABDUL","01",
"11325","12/28/25 00:00:00",35595,0,353,0,0,1,-1,0,,"11325","ABDUL","01",
"11425","12/24/25 00:00:00",172000,0,10007,0,0,1,-1,0,,"11425","ABDUL","01",
"325","09/23/25 00:00:00",77000,0,345,0,0,1,-1,0,,"325","ADMIN","01",
"425","09/18/25 00:00:00",116000,0,352,0,0,1,-1,0,,"425","ADMIN","01",
"525","09/17/25 00:00:00",18150,0,352,0,0,1,-1,0,,"525","ADMIN","01",
"825","09/23/25 00:00:00",50975,0,344,0,0,1,-1,0,,"825","ADMIN","01",
"925","09/17/25 00:00:00",74550.72,0,346,0,0,1,-1,0,,"925","ADMIN","01",
"1025","09/17/25 00:00:00",411000,0,349,0,0,1,-1,0,,"1025","ADMIN","01",
"1125","08/01/25 00:00:00",1626000,0,353,0,0,1,-1,0,,"1125","ADMIN","01",
"1325","09/19/25 00:00:00",127900,0,354,0,0,1,-1,0,,"1325","ADMIN","01",
"1425","01/01/25 00:00:00",5947.5,0,353,0,0,1,-1,0,,"1425","ADMIN","01",
"1525","01/01/25 00:00:00",4000,0,353,0,0,1,-1,0,,"1525","ADMIN","01",
"1625","01/01/25 00:00:00",12250,0,353,0,0,1,-1,0,,"1625","ADMIN","01",
"1825","09/20/25 00:00:00",56600,0,359,0,0,1,-1,0,,"1825","ADMIN","01",
"1925","01/01/25 00:00:00",9035.959999999999,0,353,0,0,1,-1,0,,"1925","ADMIN","01",
"1725","09/01/25 00:00:00",600,0,358,0,0,1,-1,0,,"1725","ADMIN","01",
"2425","10/01/25 00:00:00",31248,0,361,0,0,1,-1,0,,"2425","SUPPORT","01",
"2525","01/01/25 00:00:00",14965.05,0,353,0,0,1,-1,0,,"2525","ABDUL","01",
"2625","09/16/25 00:00:00",579900,0,364,0,0,1,-1,0,,"2625","ABDUL","01",
"26/09/2025","09/26/25 00:00:00",106482,0,350,0,0,1,-1,0,,,"ABDUL","01",
"3825","01/01/25 00:00:00",2155.3,0,353,0,0,1,-1,0,,"3825","ADMIN","01",
"3925","01/01/25 00:00:00",2410,0,353,0,0,1,-1,0,,"3925","ABDUL","01",
"4125","10/14/25 00:00:00",9000,0,366,0,0,1,-1,0,,"4125","SUPPORT","01",
"4225","10/10/25 00:00:00",60500,0,353,0,0,1,-1,0,,"4225","SUPPORT","01",
"4325","10/06/25 00:00:00",197000,0,364,0,0,1,-1,0,,"4325","SUPPORT","01",
"625","09/27/25 00:00:00",44900,0,352,0,0,1,-1,0,,"625","SUPPORT","01",
"MPESA","09/25/25 00:00:00",32104.46,0,348,0,0,1,-1,0,,"725","ADMIN","01",
"4425","10/15/25 00:00:00",7060,0,353,0,0,1,-1,0,,"4425","SUPPORT","01",
"4725","10/16/25 00:00:00",55400,0,364,0,0,1,-1,0,,"4725","SUPPORT","01",
"5325","10/23/25 00:00:00",7000,0,370,0,0,1,-1,0,,"5325","SUPPORT","01",
"6325","09/20/25 00:00:00",56600,0,359,0,0,1,-1,0,,"6325","SUPPORT","01",
"7025","10/10/25 00:00:00",28500,0,352,0,0,1,-1,0,,"7025","SUPPORT","01",
"16/10/25","10/16/25 00:00:00",13564,0,358,0,0,1,-1,0,"MPESA",,"SAID","01",
"31/10/25","10/31/25 00:00:00",89508.25999999999,0,347,0,0,1,-1,0,"CHEQUE NO 000007 DATE 10/11",,"SAID","01",
"7925","09/24/25 00:00:00",411000,0,349,0,0,1,-1,0,,"7925","SUPPORT","01",
"8325","09/01/25 00:00:00",2429.96,0,353,0,0,1,-1,0,,"8325","SUPPORT","01",
"8725","10/29/25 00:00:00",31627.07,0,10000,0,0,1,-1,0,,"8725","SAID","01",
"9125","10/27/25 00:00:00",33900,0,368,0,0,1,-1,0,,"9125","SUPPORT","01",
"4525","10/20/25 00:00:00",63900,0,368,0,0,1,-1,0,,"4525","SUPPORT","01",
"5525","10/16/25 00:00:00",42830.75,0,371,0,0,1,-1,0,,"5525","SUPPORT","01",
"9225","01/02/25 00:00:00",2700,0,370,0,0,1,-1,0,,"9225","SUPPORT","01",
"17/10/25","11/17/25 00:00:00",45500,0,357,0,0,1,-1,0,"MPESA   TKHDHACH3Y",,"SAID","01",
"9325","11/19/25 00:00:00",4500,0,353,0,0,1,-1,0,,"9325","SUPPORT","01",
