TransRefNo,Item,TDate,QntyIn,QntyOut,GRN,RevGRN,MINTrans,RevMIN,Disposal,Lse,Price,GRNBal,AvgPrice,StCn,Transfer,ActPrice,Company,SortOrder,Official,Profit,BinLoc,Production
"2025","6471","10/23/25 00:00:00",0,8,0,0,1,0,0,0,2800,0,2529.576504713561,0,0,2800,"01",,0,2163.387962291516,"Z001",0
"2025","6476","10/23/25 00:00:00",0,1,0,0,1,0,0,0,11250,0,10053.78529411765,0,0,11250,"01",,0,1196.214705882352,"Z001",0
"2025","6173","10/23/25 00:00:00",0,20,0,0,1,0,0,0,80,0,90,0,0,80,"01",,0,-200,"Z001",0
"2025","6030","10/23/25 00:00:00",0,2,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,40,"Z001",0
"2025","6192","10/23/25 00:00:00",0,40,0,0,1,0,0,0,10,0,2.883177570093458,0,0,10,"01",,0,284.6728971962617,"Z001",0
"2025","5956","10/23/25 00:00:00",0,30,0,0,1,0,0,0,25,0,14.29799426934097,0,0,25,"01",,0,321.0601719197708,"Z001",0
"2125","6099","10/27/25 00:00:00",0,2,0,0,1,0,0,0,200,0,85,0,0,200,"01",,0,230,"Z001",0
"2125","6616","10/27/25 00:00:00",0,5,0,0,1,0,0,0,200,0,132.0967741935484,0,0,200,"01",,0,339.516129032258,"Z001",0
"2125","6602","10/27/25 00:00:00",0,2,0,0,1,0,0,0,100,0,70.21683890577508,0,0,100,"01",,0,59.56632218844985,"Z001",0
"3925","5970","11/22/25 00:00:00",0,9,0,0,1,0,0,0,100,0,75,0,0,100,"01",,0,225,"Z001",0
"3925","6099","11/22/25 00:00:00",0,3,0,0,1,0,0,0,150,0,85,0,0,150,"01",,0,195,"Z001",0
"3925","251942","11/22/25 00:00:00",0,2,0,0,1,0,0,0,350,0,226.2068965517241,0,0,350,"01",,0,247.5862068965517,"Z001",0
"3925","6505","11/22/25 00:00:00",0,7,0,0,1,0,0,0,107.1428604125977,0,73.40708333333333,0,0,107.1428604125977,"01",,0,236.1504395548503,"Z001",0
"3925","251999","11/22/25 00:00:00",0,1,0,0,1,0,0,0,500,0,285,0,0,500,"01",,0,215,"Z001",0
"3925","6587","11/22/25 00:00:00",0,1,0,0,1,0,0,0,200,0,135,0,0,200,"01",,0,65,"Z001",0
"3925","6602","11/22/25 00:00:00",0,1,0,0,1,0,0,0,100,0,70.21683890577508,0,0,100,"01",,0,29.78316109422492,"Z001",0
"3925","6338","11/22/25 00:00:00",0,3,0,0,1,0,0,0,150,0,100,0,0,150,"01",,0,150,"Z001",0
"3925","6616","11/22/25 00:00:00",0,3,0,0,1,0,0,0,200,0,132.0967741935484,0,0,200,"01",,0,203.7096774193548,"Z001",0
"3925","6584","11/22/25 00:00:00",0,4,0,0,1,0,0,0,100,0,85,0,0,100,"01",,0,60,"Z001",0
"3925","6586","11/22/25 00:00:00",0,4,0,0,1,0,0,0,237.5,0,160,0,0,237.5,"01",,0,310,"Z001",0
"3925","6334","11/22/25 00:00:00",0,9,0,0,1,0,0,0,350,0,255,0,0,350,"01",,0,855,"Z001",0
"3925","6030","11/22/25 00:00:00",0,4,0,0,1,0,0,0,100,0,80,0,0,100,"01",,0,80,"Z001",0
"3925","6229","11/22/25 00:00:00",0,2,0,0,1,0,0,0,1100,0,720,0,0,1100,"01",,0,760,"Z001",0
"3925","5833","11/22/25 00:00:00",0,1,0,0,1,0,0,0,700,0,550.24,0,0,700,"01",,0,149.76,"Z001",0
"3925","5797","11/22/25 00:00:00",0,1,0,0,1,0,0,0,2500,0,1055.75,0,0,2500,"01",,0,1444.25,"Z001",0
"4125","6130","11/25/25 00:00:00",0,1,0,0,1,0,0,0,6500,0,4900,0,0,6500,"01",,0,1600,"Z001",0
"1125","6474","09/27/25 00:00:00",0,3,0,0,1,0,0,0,4400,0,4236.024,0,0,4400,"01",,0,491.927999999999,"Z001",0
"1125","6471","09/27/25 00:00:00",0,3,0,0,1,0,0,0,2500,0,2512.571428571428,0,0,2500,"01",,0,-37.71428571428532,"Z001",0
"1125","6334","09/27/25 00:00:00",0,12,0,0,1,0,0,0,350,0,255,0,0,350,"01",,0,1140,"Z001",0
"1125","6587","09/27/25 00:00:00",0,3,0,0,1,0,0,0,250,0,135,0,0,250,"01",,0,345,"Z001",0
