MINNo,OrderNo,TDate,Item,Qnty,Price,Qnty2,Price2,VAT,GRN,LPO,Posted,Pick,Credit,UnPaid,Discount,SortOrder,Customer,RetQnty,Cash,RefNo,NetInWords,Days,Pos,ClientName,Entry,UserName,Official,JobNo,JobCard,Cancelled,B4,Curr,Company,GoodsRet,Comm,Asst,Perc,AmtRecvd,VATIncl,InvNo,InvDt,IntRef,Profit,Profit2,Other,BinLoc,IDNo,LNo,RegNo,Driver,LDate,Approved,ClientAddress,NetPrice
"1225",,"09/25/25 00:00:00","6332",2,300,0,0,0,,,0,0,0,0,0,69,341,0,1,,,-1,,,2,"ADMIN",1,,,0,0,1,"01",0,0,,0,0,1,"1225",,"1204/5/6/8/10",110,0,,"Z001",,,,,,0,,300
"1425",,"10/13/25 00:00:00","6585",2,150,0,0,0,,,0,0,0,0,0,106,341,0,1,"1425",,-1,,,17,"ADMIN",1,,,0,0,1,"01",0,0,,0,32000,1,"1425",,"1222/24",25,0,,"Z001",,,,,,0,,150
"1425",,"10/13/25 00:00:00","6584",6,100,0,0,0,,,0,0,0,0,0,107,341,0,1,"1425",,-1,,,18,"ADMIN",1,,,0,0,1,"01",0,0,,0,32000,1,"1425",,"1222/24",15,0,,"Z001",,,,,,0,,100
"1425",,"10/13/25 00:00:00","6587",6,200,0,0,0,,,0,0,0,0,0,108,341,0,1,"1425",,-1,,,19,"ADMIN",1,,,0,0,1,"01",0,0,,0,32000,1,"1425",,"1222/24",65,0,,"Z001",,,,,,0,,200
"1425",,"10/13/25 00:00:00","6583",1,1295,0,0,0,,,0,0,0,0,0,109,341,0,1,"1425",,-1,,,20,"ADMIN",1,,,0,0,1,"01",0,0,,0,32000,1,"1425",,"1222/24",295,0,,"Z001",,,,,,0,,1295
"1425",,"10/13/25 00:00:00","6100",30,20,0,0,0,,,0,0,0,0,0,110,341,0,1,"1425",,-1,,,21,"ADMIN",1,,,0,0,1,"01",0,0,,0,32000,1,"1425",,"1222/24",20,0,,"Z001",,,,,,0,,20
"1525",,"10/14/25 00:00:00","6554",1,19000,0,0,0,,,0,0,0,0,0,114,367,0,1,"1525",,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,75000,1,"1525",,,2750,0,,"Z001",,,,,,0,,19000
"1525",,"10/14/25 00:00:00","251948",1,26500,0,0,0,,,0,0,0,0,0,115,367,0,1,"1525",,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,75000,1,"1525",,,5500,0,,"Z001",,,,,,0,,26500
"1525",,"10/14/25 00:00:00","251954",0,0,2,700,0,,,0,0,0,0,0,116,367,0,1,"1525",,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,75000,1,"1525",,,0,150,,"Z001",,,,,,0,,0
"1525",,"10/14/25 00:00:00","201789",2,100,0,0,0,,,0,0,0,0,0,117,367,0,1,"1525",,-1,,,4,"ABDUL",1,,,0,0,1,"01",0,0,,0,75000,1,"1525",,,55,0,,"Z001",,,,,,0,,100
"1625",,"10/16/25 00:00:00","6471",5,2850,0,40,0,,,0,0,0,0,0,121,355,0,1,,,-1,,,1,"ADMIN",1,,,0,0,1,"01",0,0,,0,0,1,"1625",,,320.42,0,,"Z001",,,,,,0,,2850
"1625",,"10/16/25 00:00:00","6474",3,4650,0,51.111111,0,,,0,0,0,0,0,122,355,0,1,,,-1,,,2,"ADMIN",1,,,0,0,1,"01",0,0,,0,0,1,"1625",,,394.09,0,,"Z001",,,,,,0,,4650
"1725",,"10/17/25 00:00:00","6591",1,5500,0,0,0,,,0,0,0,0,2.71,124,341,0,1,"1725",,-1,,,1,"ABDUL",1,,,0,0,1,"01",0,0,,0,7500.95,1,"1725",,,1677.79,0,,"Z001",,,,,,0,,5500
"1725",,"10/17/25 00:00:00","251951",1,2000,0,0,0,,,0,0,0,0,0,125,341,0,1,"1725",,-1,,,2,"ABDUL",1,,,0,0,1,"01",0,0,,0,7500.95,1,"1725",,,589.83,0,,"Z001",,,,,,0,,2000
"1725",,"10/17/25 00:00:00","6338",1,150,0,0,0,,,0,0,0,0,0,126,341,0,1,"1725",,-1,,,3,"ABDUL",1,,,0,0,1,"01",0,0,,0,7500.95,1,"1725",,,50,0,,"Z001",,,,,,0,,150
