GRNNo,LPONo,TDate,DNote,Item,Quantity,Price,VATAmount,NetAmount,Amount,Posted,Balance,SortOrder,Pick,VAT,Credit,Supplier,CurrMonth,Days,RefNo,Cash,BatchNo,Expiry,Blank,Quantity2,Price2,Return,UserName,Official,Remarks,Cancelled,B4,Curr,AVGPrice,AVGPrice2,StCn,Company,GoodsRet,Transfer,VATIncl,Discount,CostPrice,CostPrice2,Ref,BBF,BinLoc,InvNo,NetPrice
"4425",,"10/15/25 00:00:00",,"5762",50,9,0,450,450,0,450,664,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,9,1,,0,"Z001",,9
"4425",,"10/15/25 00:00:00",,"6192",50,1,0,50,50,0,50,665,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,1,1,,0,"Z001",,1
"4425",,"10/15/25 00:00:00",,"5969",30,13,0,390,390,0,390,666,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,13,1,,0,"Z001",,13
"4425",,"10/15/25 00:00:00",,"5761",50,9,0,450,450,0,450,667,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,9,1,,0,"Z001",,9
"4425",,"10/15/25 00:00:00",,"6098",20,21,0,420,420,0,420,668,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,21,1,,0,"Z001",,21
"4425",,"10/15/25 00:00:00",,"251967",12,150,0,1800,1800,0,1800,669,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,150,1,,0,"Z001",,150
"4425",,"10/15/25 00:00:00",,"5956",50,10,0,500,500,0,500,670,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,10,1,,0,"Z001",,10
"4425",,"10/15/25 00:00:00",,"251979",2,230,0,460,460,0,460,671,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,230,-1,,0,"Z001",,230
"4425",,"10/15/25 00:00:00",,"251980",2,220,0,440,440,0,440,672,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,220,-1,,0,"Z001",,220
"4425",,"10/15/25 00:00:00",,"251981",3,150,0,450,450,0,450,673,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,150,-1,,0,"Z001",,150
"4425",,"10/15/25 00:00:00",,"251982",7,90,0,630,630,0,630,674,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,90,-1,,0,"Z001",,90
"4425",,"10/15/25 00:00:00",,"251983",7,60,0,420,420,0,420,675,0,0,0,353,"10. OCTOBER",-1,"4425",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,60,-1,,0,"Z001",,60
"4525",,"10/20/25 00:00:00",,"6218",2,3600,0,7200,7200,0,7200,677,0,0,0,368,"10. OCTOBER",-1,"4525",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,3600,1,,0,"Z001",,3600
"4525",,"10/20/25 00:00:00",,"6394",2,4200,0,8400,8400,0,8400,678,0,0,0,368,"10. OCTOBER",-1,"4525",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,4200,1,,0,"Z001",,4200
"4525",,"10/20/25 00:00:00",,"6129",2,4500,0,9000,9000,0,9000,679,0,0,0,368,"10. OCTOBER",-1,"4525",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,4500,-1,,0,"Z001",,4500
"4525",,"10/20/25 00:00:00",,"6150",6,3400,0,20400,20400,0,20400,680,0,0,0,368,"10. OCTOBER",-1,"4525",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,3400,1,,0,"Z001",,3400
"4525",,"10/20/25 00:00:00",,"5704",3,3150,0,9450,9450,0,9450,681,0,0,0,368,"10. OCTOBER",-1,"4525",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,3150,1,,0,"Z001",,3150
"4525",,"10/20/25 00:00:00",,"251984",3,3150,0,9450,9450,0,9450,682,0,0,0,368,"10. OCTOBER",-1,"4525",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,3150,-1,,0,"Z001",,3150
"4625",,"10/15/25 00:00:00",,"241923",30,280,0,8400,8400,0,8400,684,0,0,0,347,"10. OCTOBER",-1,,1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,280,1,,0,"Z001",,280
"4725",,"10/16/25 00:00:00",,"5602",2,9000,0,18000,18000,0,18000,685,0,0,0,364,"10. OCTOBER",-1,"4725",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,9000,1,,0,"Z001",,9000
"4725",,"10/16/25 00:00:00",,"1711",2,2700,0,5400,5400,0,5400,686,0,0,0,364,"10. OCTOBER",-1,"4725",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,2700,-1,,0,"Z001",,2700
"4725",,"10/16/25 00:00:00",,"211827",2,4000,0,8000,8000,0,8000,687,0,0,0,364,"10. OCTOBER",-1,"4725",1,,,1,0,-1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,4000,-1,,0,"Z001",,4000
"4725",,"10/16/25 00:00:00",,"5612",4,6000,0,24000,24000,0,24000,688,0,0,0,364,"10. OCTOBER",-1,"4725",1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,6000,1,,0,"Z001",,6000
"4825","50432","10/01/25 00:00:00",,"6475",4,6453.3,0,25813.2,25813.2,0,25813.2,690,0,0,0,350,"10. OCTOBER",-1,,1,,,1,0,3880.24,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,6453.3,3880.24,,0,"Z001","50432",6453.2998
"4825","50432","10/01/25 00:00:00",,"6476",4,9775.5,0,39102,39102,0,39102,691,0,0,0,350,"10. OCTOBER",-1,,1,,,1,0,5557.02,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,9775.5,5557.02,,0,"Z001","50432",9775.5
"4925","50430","10/01/25 00:00:00",,"6363",10,112,0,1120,1120,0,1120,692,0,0,0,350,"10. OCTOBER",-1,,1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,112,1,,0,"Z001","50430",112
"4925","50430","10/01/25 00:00:00",,"6364",6,188,0,1128,1128,0,1128,693,0,0,0,350,"10. OCTOBER",-1,,1,,,1,0,1,0,"SUPPORT",1,,0,0,1,0,0,0,"01",0,0,1,0,188,1,,0,"Z001","50430",188
