RefNo,TDate,Amount,Posted,Customer,PayFor,CNote,DNote,Receipt,Days,Pick,ClientName,Remark,MINNo,UserName,Company
"225","09/28/25 00:00:00",52000,0,341,0,0,0,1,-1,0,,,"225","ADMIN","01"
"325","09/24/25 00:00:00",600,0,341,0,0,0,1,-1,0,,,"325","NASSOR ","01"
"425","09/30/25 00:00:00",10800,0,341,0,0,0,1,-1,0,,,"425","ADMIN","01"
"10,7.5,6.5","09/30/25 00:00:00",24000,0,355,0,0,0,1,-1,0,,,"525","ADMIN","01"
"125","09/23/25 00:00:00",45000,0,341,0,0,0,1,-1,0,,,"125","ADMIN","01"
"725","10/02/25 00:00:00",200,0,341,0,0,0,1,-1,0,,,"725","ADMIN","01"
"925","09/28/25 00:00:00",84500,0,365,0,0,0,1,-1,0,,,"925","ABDUL","01"
"1025","09/24/25 00:00:00",17000,0,341,0,0,0,1,-1,0,,,"1025","ADMIN","01"
"1125","09/27/25 00:00:00",52450,0,341,0,0,0,1,-1,0,,,"1125","SAID","01"
"1325","10/07/25 00:00:00",4550,0,341,0,0,0,1,-1,0,,,"1325","ADMIN","01"
"1425","10/13/25 00:00:00",31999.85,0,341,0,0,0,1,-1,0,,,"1425","ADMIN","01"
"1525","10/14/25 00:00:00",47100,0,367,0,0,0,1,-1,0,,,"1525","ABDUL","01"
"1725","10/17/25 00:00:00",7500.95,0,341,0,0,0,1,-1,0,,,"1725","ABDUL","01"
"1825","10/20/25 00:00:00",900,0,341,0,0,0,1,-1,0,,,"1825","ABDUL","01"
"1925","10/20/25 00:00:00",300000,0,369,0,0,0,1,72,1,,,"1925","ABDUL","01"
"2125","10/27/25 00:00:00",2400,0,341,0,0,0,1,-1,0,,,"2125","SAID","01"
"27/10/2025","10/27/25 00:00:00",105900,0,355,0,0,0,1,-1,0,,"CHEQUE",,"ABDUL","01"
"01/11/25","11/01/25 00:00:00",49000,0,363,0,0,0,1,-1,0,,"MPESA FLOAT",,"ABDUL","01"
"2425","11/03/25 00:00:00",7900,0,341,0,0,0,1,-1,0,,,"2425","SAID","01"
"2525","10/13/25 00:00:00",2650,0,341,0,0,0,1,-1,0,,,"2525","SAID","01"
"2625","10/14/25 00:00:00",1500,0,341,0,0,0,1,-1,0,,,"2625","SAID","01"
"2725","10/29/25 00:00:00",10250,0,341,0,0,0,1,-1,0,,,"2725","SAID","01"
"2825","10/29/25 00:00:00",3900,0,341,0,0,0,1,-1,0,,,"2825","SAID","01"
"2925","11/03/25 00:00:00",88800,0,341,0,0,0,1,-1,0,,,"2925","ABDUL","01"
"3025","11/02/25 00:00:00",46150,0,341,0,0,0,1,-1,0,,,"3025","ABDUL","01"
"3225","11/03/25 00:00:00",17000,0,356,0,0,0,1,-1,0,,,"3225","SAID","01"
"3325","11/03/25 00:00:00",8500,0,341,0,0,0,1,-1,0,,,"3325","SAID","01"
"3525","11/04/25 00:00:00",13750,0,341,0,0,0,1,-1,0,"AUSTINE",,"3525","SAID","01"
"4625","12/02/25 00:00:00",4580,0,341,0,0,0,1,-1,0,,,"4625","ABDUL","01"
"4525","12/01/25 00:00:00",350,0,341,0,0,0,1,-1,0,,,"4525","ABDUL","01"
"4725","12/03/25 00:00:00",5660,0,341,0,0,0,1,-1,0,,,"4725","ABDUL","01"
"4825","12/04/25 00:00:00",7566,0,341,0,0,0,1,-1,0,,,"4825","ABDUL","01"
"5025","12/06/25 00:00:00",10550,0,341,0,0,0,1,-1,0,,,"5025","ABDUL","01"
"4925","12/05/25 00:00:00",18080,0,341,0,0,0,1,-1,0,,,"4925","ABDUL","01"
"5425","12/13/25 00:00:00",43310,0,341,0,0,0,1,-1,0,,,"5425","ABDUL","01"
"14/12/2025","12/14/25 00:00:00",55065,0,10002,0,0,0,1,-1,0,,"CHEQUE GULF BANK",,"ABDUL","01"
"5525","12/15/25 00:00:00",3850.01,0,341,0,0,0,1,-1,0,,,"5525","ABDUL","01"
"5625","12/16/25 00:00:00",17250,0,341,0,0,0,1,-1,0,,,"5625","ABDUL","01"
"5825","12/17/25 00:00:00",5450,0,341,0,0,0,1,-1,0,,,"5825","ABDUL","01"
"5925","12/18/25 00:00:00",1300,0,341,0,0,0,1,-1,0,,,"5925","ABDUL","01"
"6125","12/19/25 00:00:00",9930,0,341,0,0,0,1,-1,0,,,"6125","ABDUL","01"
"6425","12/23/25 00:00:00",147950,0,341,0,0,0,1,-1,0,,,"6425","ABDUL","01"
"6525","12/24/25 00:00:00",16250,0,341,0,0,0,1,-1,0,,,"6525","ABDUL","01"
"6625","12/25/25 00:00:00",2450,0,341,0,0,0,1,-1,0,,,"6625","ABDUL","01"
"6725","12/26/25 00:00:00",250,0,341,0,0,0,1,-1,0,,,"6725","ABDUL","01"
"6825","12/27/25 00:00:00",52200,0,341,0,0,0,1,-1,0,,,"6825","ABDUL","01"
"7125","12/30/25 00:00:00",125542.86,0,341,0,0,0,1,-1,0,,,"7125","ABDUL","01"
"7225","12/29/25 00:00:00",14300,0,341,0,0,0,1,-1,0,,,"7225","SAID","01"
"7325","12/30/25 00:00:00",7450,0,341,0,0,0,1,-1,0,,,"7325","SAID","01"
"7425","12/31/25 00:00:00",1710,0,341,0,0,0,1,-1,0,,,"7425","SAID","01"
"7525","12/03/25 00:00:00",58800,0,341,0,0,0,1,-1,0,,,"7525","SAID","01"
